DIM 100 STEPS 100

5;0.507805;0.172778;2.939066;MONTE CARLO
6;0.507805;0.123247;4.120218;MONTE CARLO
7;0.507805;0.148243;3.425494;MONTE CARLO
8;0.507805;0.131553;3.860074;MONTE CARLO
9;0.507805;0.124406;4.081851;MONTE CARLO
10;0.507805;0.112452;4.515735;MONTE CARLO
11;0.507805;0.108953;4.660770;MONTE CARLO
12;0.507805;0.109643;4.631452;MONTE CARLO

DIM 500 steps 1000

2;12.994120;6.751883;1.924518;MONTE CARLO
3;12.994120;4.741901;2.740277;MONTE CARLO
4;12.994120;3.740579;3.473826;MONTE CARLO
5;12.994120;3.140789;4.137215;MONTE CARLO
6;12.994120;3.037605;4.277752;MONTE CARLO
7;12.994120;3.822234;3.399614;MONTE CARLO
8;12.994120;3.335221;3.896029;MONTE CARLO
9;12.994120;2.978030;4.363327;MONTE CARLO
10;12.994120;2.736040;4.749243;MONTE CARLO
11;12.994120;2.567005;5.061977;MONTE CARLO
12;12.994120;2.648135;4.906894;MONTE CARLO

DIM 1000 steps 1000

2;51.765369;27.093554;1.910616;MONTE CARLO
3;51.765369;19.013426;2.722569;MONTE CARLO
4;51.765369;15.079360;3.432862;MONTE CARLO
5;51.765369;13.099627;3.951667;MONTE CARLO
6;51.765369;12.055648;4.293869;MONTE CARLO
7;51.765369;15.425553;3.355819;MONTE CARLO
8;51.765369;14.363640;3.603917;MONTE CARLO
9;51.765369;13.329177;3.883613;MONTE CARLO
10;51.765369;12.573217;4.117114;MONTE CARLO
11;51.765369;11.920340;4.342608;MONTE CARLO
12;51.765369;11.483594;4.507767;MONTE CARLO

